,human_development_index,weekly_hosp_admissions,tests_per_case,new_cases,total_deaths,new_vaccinations_smoothed_per_million,new_deaths_smoothed_per_million,population,total_vaccinations,total_cases,new_tests,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,extreme_poverty,positive_rate,total_boosters_per_hundred,handwashing_facilities,new_vaccinations_smoothed,new_cases_per_million,total_boosters,aged_70_older,new_vaccinations,hospital_beds_per_thousand,new_cases_smoothed_per_million,total_vaccinations_per_hundred,new_deaths_smoothed,new_tests_per_thousand,last_updated_date,new_tests_smoothed,people_vaccinated,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,diabetes_prevalence,total_tests,total_deaths_per_million,new_people_vaccinated_smoothed,continent,excess_mortality,excess_mortality_cumulative,cardiovasc_death_rate,total_cases_per_million,stringency_index,new_deaths,icu_patients,tests_units,gdp_per_capita,total_tests_per_thousand,aged_65_older,excess_mortality_cumulative_absolute,weekly_hosp_admissions_per_million,life_expectancy,new_cases_smoothed,new_deaths_per_million,female_smokers,hosp_patients,male_smokers,population_density,icu_patients_per_million,location,new_tests_smoothed_per_thousand,hosp_patients_per_million,excess_mortality_cumulative_per_million,weekly_icu_admissions,reproduction_rate,median_age,people_fully_vaccinated_per_hundred
POL,0.88,,,2463.0,120726.0,,0.015,39857144.0,,6670799.0,,,,,,,,,64.164,,10.202,,6.62,9.166,,0.571,,2024-08-04,,,,,5.91,,3145.075,,Europe,,,227.331,173783.28,,4.0,,,27216.445,,16.763,,,78.73,351.857,0.104,23.3,,33.1,124.027,,Poland,,,,,,41.8,
PRT,0.864,,,1055.0,28809.0,,0.686,10270857.0,,5664109.0,,,,0.5,,,,,101.276,,14.924,,3.39,14.468,,7.143,,2024-08-04,,,,,9.85,,2765.556,,Europe,,,127.842,543733.1,,50.0,,,27936.896,,21.502,,,82.05,150.714,4.8,16.3,,30.0,112.371,,Portugal,,,,,,46.2,
PRI,,,,0.0,5938.0,,0.0,3252412.0,,1252713.0,,,,,,,,,0.0,,9.829,,,0.0,,0.0,,2024-08-04,,,,,12.9,,1832.167,,North America,,,108.094,386523.97,,0.0,,,35044.67,,15.168,,,80.1,0.0,0.0,,,,376.232,,Puerto Rico,,,,,,38.2,
QAT,0.848,,,0.0,690.0,,0.0,2695131.0,,514524.0,,,,,,,,,0.0,,0.617,,1.2,0.0,,0.0,,2024-08-04,,,,,16.52,,238.551,,Asia,,,176.69,177884.27,,0.0,,,116935.6,,1.307,,,80.23,0.0,0.0,0.8,,26.9,227.322,,Qatar,,,,,,31.9,
REU,,,,0.0,921.0,,0.0,974062.0,,494595.0,,,,,,,,,0.0,,6.841,,,0.0,,0.0,,2024-08-04,,,,,,,1056.748,,Africa,,,,567494.2,,0.0,,,,,,,,80.48,0.0,0.0,,,,,,Reunion,,,,,,36.0,
ROU,0.828,,,4633.0,68825.0,,0.045,19659270.0,,3541619.0,,,,5.7,,,,,241.72,,11.69,,6.892,34.531,,0.857,,2024-08-04,,,,,9.74,,3590.849,,Europe,,,370.946,184779.06,,6.0,,,23313.199,,17.85,,,76.05,661.857,0.313,22.9,,37.1,85.129,,Romania,,,,,,43.0,
RUS,0.824,,,7777.0,403188.0,,0.01,144713312.0,,24268728.0,,,,0.1,,,,,53.421,,9.393,,8.05,7.632,,1.429,,2024-08-04,,,,,6.18,,2769.531,,Europe,,,431.297,166703.84,,10.0,,,24765.954,,14.178,,,72.58,1111.0,0.069,23.4,,58.3,8.823,,Russia,,,,,,39.6,
RWA,0.543,,,0.0,1468.0,,0.0,13776702.0,,133264.0,,,,56.0,,,4.617,,0.0,,1.642,,,0.0,,0.0,,2024-08-04,,,,,4.28,,107.538,,Africa,,,191.375,9762.196,,0.0,,,1854.211,,2.974,,,69.02,0.0,0.0,4.7,,21.0,494.869,,Rwanda,,,,,,20.3,
BLM,,,,0.0,5.0,,0.0,10994.0,,5507.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,456.704,,North America,,,,503014.25,,0.0,,,,,,,,,0.0,0.0,,,,,,Saint Barthelemy,,,,,,,
SHN,,,,0.0,0.0,,0.0,5401.0,,2166.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,0.0,,Africa,,,,403427.1,,0.0,,,,,,,,80.56,0.0,0.0,,,,,,Saint Helena,,,,,,,
